Id,Compression,Encryption,AES,Blowfish,Algorithm,rar,zip,Signature,Timestamp,Segmentation,einhundertMB,einGB,Performance
0,1,0,0,0,1,1,0,0,0,0,0,0,750
1,1,0,0,0,1,1,0,0,0,1,1,0,773
2,1,0,0,0,1,1,0,0,0,1,0,1,770
3,1,0,0,0,1,1,0,0,1,0,0,0,750
4,1,0,0,0,1,1,0,0,1,1,1,0,773
5,1,0,0,0,1,1,0,0,1,1,0,1,770
6,1,0,0,0,1,1,0,1,0,0,0,0,760
7,1,0,0,0,1,1,0,1,0,1,1,0,808
8,1,0,0,0,1,1,0,1,0,1,0,1,795
9,1,0,0,0,1,1,0,1,1,0,0,0,760
10,1,0,0,0,1,1,0,1,1,1,1,0,808
11,1,0,0,0,1,1,0,1,1,1,0,1,795
12,1,0,0,0,1,0,1,0,0,0,0,0,570
13,1,0,0,0,1,0,1,0,0,1,1,0,615
14,1,0,0,0,1,0,1,0,0,1,0,1,610
15,1,0,0,0,1,0,1,0,1,0,0,0,570
16,1,0,0,0,1,0,1,0,1,1,1,0,615
17,1,0,0,0,1,0,1,0,1,1,0,1,610
18,1,0,0,0,1,0,1,1,0,0,0,0,580
19,1,0,0,0,1,0,1,1,0,1,1,0,650
20,1,0,0,0,1,0,1,1,0,1,0,1,635
21,1,0,0,0,1,0,1,1,1,0,0,0,580
22,1,0,0,0,1,0,1,1,1,1,1,0,650
23,1,0,0,0,1,0,1,1,1,1,0,1,635
24,1,1,1,0,1,1,0,0,0,0,0,0,1480
25,1,1,1,0,1,1,0,0,0,1,1,0,1503
26,1,1,1,0,1,1,0,0,0,1,0,1,1500
27,1,1,1,0,1,1,0,0,1,0,0,0,1480
28,1,1,1,0,1,1,0,0,1,1,1,0,1503
29,1,1,1,0,1,1,0,0,1,1,0,1,1500
30,1,1,1,0,1,1,0,1,0,0,0,0,1490
31,1,1,1,0,1,1,0,1,0,1,1,0,1538
32,1,1,1,0,1,1,0,1,0,1,0,1,1525
33,1,1,1,0,1,1,0,1,1,0,0,0,1490
34,1,1,1,0,1,1,0,1,1,1,1,0,1538
35,1,1,1,0,1,1,0,1,1,1,0,1,1525
36,1,1,1,0,1,0,1,0,0,0,0,0,1270
37,1,1,1,0,1,0,1,0,0,1,1,0,1315
38,1,1,1,0,1,0,1,0,0,1,0,1,1310
39,1,1,1,0,1,0,1,0,1,0,0,0,1270
40,1,1,1,0,1,0,1,0,1,1,1,0,1315
41,1,1,1,0,1,0,1,0,1,1,0,1,1310
42,1,1,1,0,1,0,1,1,0,0,0,0,1280
43,1,1,1,0,1,0,1,1,0,1,1,0,1350
44,1,1,1,0,1,0,1,1,0,1,0,1,1335
45,1,1,1,0,1,0,1,1,1,0,0,0,1280
46,1,1,1,0,1,0,1,1,1,1,1,0,1350
47,1,1,1,0,1,0,1,1,1,1,0,1,1335
48,1,1,0,1,1,1,0,0,0,0,0,0,950
49,1,1,0,1,1,1,0,0,0,1,1,0,973
50,1,1,0,1,1,1,0,0,0,1,0,1,970
51,1,1,0,1,1,1,0,0,1,0,0,0,950
52,1,1,0,1,1,1,0,0,1,1,1,0,973
53,1,1,0,1,1,1,0,0,1,1,0,1,970
54,1,1,0,1,1,1,0,1,0,0,0,0,960
55,1,1,0,1,1,1,0,1,0,1,1,0,1008
56,1,1,0,1,1,1,0,1,0,1,0,1,995
57,1,1,0,1,1,1,0,1,1,0,0,0,960
58,1,1,0,1,1,1,0,1,1,1,1,0,1008
59,1,1,0,1,1,1,0,1,1,1,0,1,995
60,1,1,0,1,1,0,1,0,0,0,0,0,770
61,1,1,0,1,1,0,1,0,0,1,1,0,815
62,1,1,0,1,1,0,1,0,0,1,0,1,810
63,1,1,0,1,1,0,1,0,1,0,0,0,770
64,1,1,0,1,1,0,1,0,1,1,1,0,815
65,1,1,0,1,1,0,1,0,1,1,0,1,810
66,1,1,0,1,1,0,1,1,0,0,0,0,780
67,1,1,0,1,1,0,1,1,0,1,1,0,850
68,1,1,0,1,1,0,1,1,0,1,0,1,835
69,1,1,0,1,1,0,1,1,1,0,0,0,780
70,1,1,0,1,1,0,1,1,1,1,1,0,850
71,1,1,0,1,1,0,1,1,1,1,0,1,835
