Id,Compression,Encryption,AES,Blowfish,Algorithm,rar,zip,Signature,Timestamp,Segmentation,einhundertMB,einGB,Performance
0,1,0,0,0,1,1,0,0,0,0,0,0,750
1,1,0,0,0,1,1,0,0,0,1,1,0,773
2,1,0,0,0,1,1,0,0,0,1,0,1,770
3,1,0,0,0,1,1,0,0,1,0,0,0,750
4,1,0,0,0,1,1,0,0,1,1,1,0,773
5,1,0,0,0,1,1,0,0,1,1,0,1,770
6,1,0,0,0,1,1,0,1,0,0,0,0,760
10,1,0,0,0,1,1,0,1,1,1,1,0,808
11,1,0,0,0,1,1,0,1,1,1,0,1,795
12,1,0,0,0,1,0,1,0,0,0,0,0,570
15,1,0,0,0,1,0,1,0,1,0,0,0,570
18,1,0,0,0,1,0,1,1,0,0,0,0,580
21,1,0,0,0,1,0,1,1,1,0,0,0,580
24,1,1,1,0,1,1,0,0,0,0,0,0,1480
28,1,1,1,0,1,1,0,0,1,1,1,0,1503
29,1,1,1,0,1,1,0,0,1,1,0,1,1500
30,1,1,1,0,1,1,0,1,0,0,0,0,1490
31,1,1,1,0,1,1,0,1,0,1,1,0,1538
32,1,1,1,0,1,1,0,1,0,1,0,1,1525
33,1,1,1,0,1,1,0,1,1,0,0,0,1490
34,1,1,1,0,1,1,0,1,1,1,1,0,1538
35,1,1,1,0,1,1,0,1,1,1,0,1,1525
37,1,1,1,0,1,0,1,0,0,1,1,0,1315
39,1,1,1,0,1,0,1,0,1,0,0,0,1270
46,1,1,1,0,1,0,1,1,1,1,1,0,1350
47,1,1,1,0,1,0,1,1,1,1,0,1,1335
